Date,Open,High,Low,Close,Volume,Adj Close,Change
2014-03-24,1867.67,1873.34,1849.69,1857.44,3409000000,1857.44,-0.004864668
2014-03-21,1874.53,1883.97,1863.46,1866.52,5270710000,1866.52,-0.002932677
2014-03-20,1860.09,1873.49,1854.63,1872.01,3327540000,1872.01,0.00604051
2014-03-19,1872.25,1874.14,1850.35,1860.77,3289210000,1860.77,-0.00613166
2014-03-18,1858.92,1873.76,1858.92,1872.25,2930190000,1872.25,0.007219595
2014-03-17,1842.81,1862.3,1842.81,1858.83,2860490000,1858.83,0.009613661
2014-03-14,1845.07,1852.44,1839.57,1841.13,3285460000,1841.13,-0.002821799
2014-03-13,1869.06,1874.4,1841.86,1846.34,3670990000,1846.34,-0.011701103
2014-03-12,1866.15,1868.38,1854.38,1868.2,3270860000,1868.2,0.0003052
2014-03-11,1878.26,1882.35,1863.88,1867.63,3392400000,1867.63,-0.005082118
2014-03-10,1877.86,1877.87,1867.04,1877.17,3021350000,1877.17,-0.000463249
2014-03-07,1878.52,1883.57,1870.56,1878.04,3564740000,1878.04,0.000538084
2014-03-06,1874.18,1881.94,1874.18,1877.03,3360450000,1877.03,0.001718424
2014-03-05,1874.05,1876.53,1871.11,1873.81,3392990000,1873.81,-5.33644E-05
2014-03-04,1849.23,1876.23,1849.23,1873.91,3765770000,1873.91,0.015267672
2014-03-03,1857.68,1857.68,1834.44,1845.73,3428220000,1845.73,-0.007378526
2014-02-28,1855.12,1867.92,1847.67,1859.45,3917450000,1859.45,0.002782736
2014-02-27,1844.9,1854.53,1841.13,1854.29,3547460000,1854.29,0.00494808
2014-02-26,1845.79,1852.65,1840.66,1845.16,3716730000,1845.16,2.16788E-05
2014-02-25,1847.66,1852.91,1840.19,1845.12,3515560000,1845.12,-0.001347687
2014-02-24,1836.78,1858.71,1836.78,1847.61,4014530000,1847.61,0.006186521
2014-02-21,1841.07,1846.13,1835.6,1836.25,3403880000,1836.25,-0.001918708
2014-02-20,1829.24,1842.79,1824.58,1839.78,3404980000,1839.78,0.006031442
2014-02-19,1838.9,1847.5,1826.99,1828.75,3661570000,1828.75,-0.006524479
2014-02-18,1839.03,1842.87,1835.01,1840.76,3421110000,1840.76,0.001158471
2014-02-14,1828.46,1841.65,1825.59,1838.63,3114750000,1838.63,0.00480919
2014-02-13,1814.82,1830.25,1809.22,1829.83,3289510000,1829.83,0.005810055
2014-02-12,1820.12,1826.55,1815.97,1819.26,3326380000,1819.26,-0.000269268
2014-02-11,1800.45,1823.54,1800.41,1819.75,3699380000,1819.75,0.011062094
2014-02-10,1796.2,1799.94,1791.83,1799.84,3312160000,1799.84,0.001569265
2014-02-07,1776.01,1798.03,1776.01,1797.02,3775990000,1797.02,0.013301906
2014-02-06,1752.99,1774.06,1752.99,1773.43,3825410000,1773.43,0.012439771
2014-02-05,1753.38,1755.79,1737.92,1751.64,3984290000,1751.64,-0.002028259
2014-02-04,1743.82,1758.73,1743.82,1755.2,4068410000,1755.2,0.007641125
2014-02-03,1782.68,1784.83,1739.66,1741.89,4726040000,1741.89,-0.022831947
